ObsTime,WB,cold water temp-A,cold water temp-B,cold water avg.,hot water temp-A,hot water temp-B,total water flow -A,total water flow-B,hot water temp,TOTAL WATER FLOW,Quanity of Motor start,Motor current avg.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,Label-T
2018/11/1 00:00,16.52,28.232,28.742,28.487,35.906,38.429,35684.316,33428.384,37.12632293,69112.7,17,41.96129412,43.274,42.684,42.121,43.13,38.309,42.735,42.891,0.02,41.483,40.574,42.043,42.968,41.174,0,40.971,0.069,41.137,43.498,42.972,41.289,B
2018/11/1 00:30,17.71,28.28,28.83,28.555,35.92,38.497,35843.522,33587.32,37.16662932,69430.842,17,41.90911765,43.283,42.656,41.898,42.963,38.237,42.797,42.847,0.021,41.325,40.58,42.064,42.97,41.105,0,40.893,0.069,41.088,43.473,42.941,41.245,B
2018/11/1 01:00,19.67,28.383,28.917,28.65,36.008,38.612,35723.019,33745.743,37.27294142,69468.762,17,41.88723529,43.353,42.49,41.995,42.953,38.276,42.692,42.827,0.023,41.454,40.466,41.975,42.911,41.103,0,40.882,0.069,41.08,43.437,42.93,41.167,B
2018/11/1 01:30,20.14,28.385,28.885,28.635,36.137,38.628,35854.726,33375.774,37.3379021,69230.5,17,41.86635294,43.288,42.469,41.962,42.892,38.28,42.675,42.863,0.021,41.342,40.471,41.934,42.902,41.104,0,40.828,0.069,41.051,43.485,42.931,41.161,B
2018/11/1 02:00,20.06,28.406,28.924,28.665,35.972,38.592,35834.03,33647.508,37.24077547,69481.538,17,41.87988235,43.33,42.463,42.007,43.063,38.231,42.627,42.774,0.022,41.463,40.5,42.098,42.933,41.036,0,40.82,0.069,41.046,43.436,42.898,41.142,B
2018/11/1 02:30,19.83,28.343,28.9,28.6215,35.806,38.598,35750.81,33761.187,37.16204267,69511.997,17,41.86429412,43.298,42.539,41.992,42.894,38.191,42.677,42.769,0.022,41.444,40.507,41.958,42.939,41.071,0,40.792,0.069,41.041,43.428,42.93,41.132,B
2018/11/1 03:00,19.8,28.37,28.965,28.6675,35.808,38.635,35748.014,33684.779,37.17949704,69432.793,17,41.82358824,43.377,42.468,41.923,42.975,38.145,42.599,42.689,0.023,41.325,40.455,41.966,42.84,40.986,0,40.788,0.069,41.031,43.403,42.839,41.1,B
2018/11/1 03:30,20.08,28.544,29.138,28.841,35.964,38.702,35606.292,33576.214,37.29282833,69182.506,17,41.79288235,43.263,42.443,41.962,42.89,38.101,42.581,42.72,0.025,41.067,40.332,41.926,42.918,41.04,0,40.729,0.069,41.041,43.402,42.862,41.108,B
2018/11/1 04:00,19.71,28.56,29.007,28.7835,36.063,38.733,35817.133,33575.814,37.35488091,69392.947,17,41.79564706,43.154,42.42,41.941,43.047,38.085,42.63,42.664,0.023,40.801,40.363,42.003,42.881,41.019,0,40.78,0.069,41.134,43.392,42.924,41.196,B
2018/11/1 04:30,18.3,28.354,28.725,28.5395,35.923,38.466,35817.258,33467.574,37.15137912,69284.832,17,41.81629412,43.178,42.373,41.921,43.06,38.085,42.596,42.693,0.021,41.015,40.439,42.05,42.961,41.083,0,40.793,0.069,41.091,43.4,42.901,41.148,B
